Continent_Name,Continent_Code,Three_Letter_Country_Code,Country_Name
Europe,EU,PRT,"Portugal, Portuguese Republic"
Africa,AF,GNB,"Guinea-Bissau, Republic of"
Asia,AS,TLS,"Timor-Leste, Democratic Republic of"
North America,NA,PRI,"Puerto Rico, Commonwealth of"
Asia,AS,QAT,"Qatar, State of"
Africa,AF,REU,Reunion
Europe,EU,ROU,Romania
Europe,EU,RUS,Russian Federation
Asia,AS,RUS,Russian Federation
Africa,AF,RWA,"Rwanda, Republic of"
North America,NA,BLM,Saint Barthelemy
Africa,AF,SHN,Saint Helena
North America,NA,KNA,"Saint Kitts and Nevis, Federation of"
North America,NA,AIA,Anguilla
North America,NA,LCA,Saint Lucia
North America,NA,MAF,Saint Martin
North America,NA,SPM,Saint Pierre and Miquelon
North America,NA,VCT,Saint Vincent and the Grenadines
Europe,EU,SMR,"San Marino, Republic of"
Africa,AF,STP,"Sao Tome and Principe, Democratic Republic of"
Asia,AS,SAU,"Saudi Arabia, Kingdom of"
Africa,AF,SEN,"Senegal, Republic of"
Europe,EU,SRB,"Serbia, Republic of"
Africa,AF,SYC,"Seychelles, Republic of"
Africa,AF,SLE,"Sierra Leone, Republic of"
Asia,AS,SGP,"Singapore, Republic of"
Europe,EU,SVK,Slovakia (Slovak Republic)
Asia,AS,VNM,"Vietnam, Socialist Republic of"
Europe,EU,SVN,"Slovenia, Republic of"
Africa,AF,SOM,"Somalia, Somali Republic"
Africa,AF,ZAF,"South Africa, Republic of"
Africa,AF,ZWE,"Zimbabwe, Republic of"
Europe,EU,ESP,"Spain, Kingdom of"
Africa,AF,SSD,South Sudan
Africa,AF,ESH,Western Sahara
Africa,AF,SDN,"Sudan, Republic of"
South America,SA,SUR,"Suriname, Republic of"
Europe,EU,SJM,Svalbard & Jan Mayen Islands
Africa,AF,SWZ,"Swaziland, Kingdom of"
Europe,EU,SWE,"Sweden, Kingdom of"
Europe,EU,CHE,"Switzerland, Swiss Confederation"
Asia,AS,SYR,Syrian Arab Republic
Asia,AS,TJK,"Tajikistan, Republic of"
Asia,AS,THA,"Thailand, Kingdom of"
Africa,AF,TGO,"Togo, Togolese Republic"
Oceania,OC,TKL,Tokelau
Oceania,OC,TON,"Tonga, Kingdom of"
North America,NA,TTO,"Trinidad and Tobago, Republic of"
Asia,AS,ARE,United Arab Emirates
Africa,AF,TUN,"Tunisia, Tunisian Republic"
Europe,EU,TUR,"Turkey, Republic of"
Asia,AS,TUR,"Turkey, Republic of"
Asia,AS,TKM,Turkmenistan
North America,NA,TCA,Turks and Caicos Islands
Oceania,OC,TUV,Tuvalu
Africa,AF,UGA,"Uganda, Republic of"
Europe,EU,UKR,Ukraine
Europe,EU,MKD,"Macedonia, The Former Yugoslav Republic of"
Africa,AF,EGY,"Egypt, Arab Republic of"
Europe,EU,GBR,United Kingdom of Great Britain & Northern Ireland
Europe,EU,GGY,"Guernsey, Bailiwick of"
Europe,EU,JEY,"Jersey, Bailiwick of"
Europe,EU,IMN,Isle of Man
Africa,AF,TZA,"Tanzania, United Republic of"
North America,NA,USA,United States of America
North America,NA,VIR,United States Virgin Islands
Africa,AF,BFA,Burkina Faso
South America,SA,URY,"Uruguay, Eastern Republic of"
Asia,AS,UZB,"Uzbekistan, Republic of"
South America,SA,VEN,"Venezuela, Bolivarian Republic of"
Oceania,OC,WLF,Wallis and Futuna
Oceania,OC,WSM,"Samoa, Independent State of"
Asia,AS,YEM,Yemen
Africa,AF,ZMB,"Zambia, Republic of"
