Empresa,Empleados,Año,Industria,País,Ingresos,Ganancias,Activos,Valor de Mercado,Margen de Rentabilidad,ROA,Continente,Codigo_pais
Enel,68961,2015,Utilities,Italy,97266.0,685.8,201635.0,44557.0,0.007050767997039047,0.003401195229002901,Europe,ITA
Statoil,22516,2015,Oil & Gas Operations,Norway,95139.0,3473.2,131563.0,58041.0,0.03650658510179842,0.026399519621778157,Europe,NOR
BASF,113292,2015,Chemicals,Germany,98589.0,6837.8,90172.0,93536.0,0.06935662193551005,0.0758306347868518,Europe,DEU
Noble Group,1900,2015,Conglomerates,Hong Kong,85755.0,132.0,20084.0,4642.0,0.0015392688472975337,0.00657239593706433,Asia,HKG
China Railway Construction,297035,2015,Construction,China,94081.0,1839.9,99453.0,33700.0,0.019556552332564495,0.018500196072516666,Asia,CHN
HSBC Holdings,264767,2015,Banking,United Kingdom,81086.0,13536.7,2634139.0,167746.0,0.1669425054880004,0.005138946729842275,Europe,GBR
IBM,412775,2015,IT Software & Services,United States,93357.0,12022.0,117532.0,160164.0,0.12877448932592092,0.10228703672191403,North America,USA
Marathon Petroleum,45340,2015,Oil & Gas Operations,United States,91168.0,2521.0,30460.0,26900.0,0.0276522464022464,0.08276428102429416,North America,USA
Cardinal Health,34000,2015,Drugs & Biotechnology,United States,93928.0,1104.0,27248.0,29689.0,0.011753683672600289,0.040516735173223725,North America,USA
Boeing,165500,2015,Aerospace & Defense,United States,90784.0,5441.0,99198.0,105627.0,0.05993346845259077,0.054849896167261436,North America,USA
Citigroup,241000,2015,Banking,United States,93929.0,7203.0,1846006.0,156663.0,0.07668558166274526,0.0039019374801598696,North America,USA
Amazon.com,154100,2015,Retailing,United States,88988.0,-241.0,56340.0,175091.0,-0.0027082303231896437,-0.00427760028399006,North America,USA
Hitachi,333150,2015,Consumer Durables,Japan,91259.0,2953.4,102721.0,33491.0,0.032362835446366936,0.028751667137196874,Asia,JPN
Wells Fargo,264500,2015,Banking,United States,90403.0,23057.0,1701408.0,278273.0,0.2550468457905158,0.013551717166017793,North America,USA
ING Group,68431,2015,Banking,Netherlands,65729.0,2572.0,1195717.0,58875.0,0.03913036863484915,0.002151010648840821,Europe,NLD
JX Holdings,26415,2015,Oil & Gas Operations,Japan,111026.0,-1500.7,65624.0,9716.0,-0.013516653756777693,-0.02286815799097891,Asia,JPN
China Life Insurance,151719,2015,Insurance,China,71439.0,5219.4,362116.0,160495.0,0.07306093310376685,0.014413613317279545,Asia,CHN
Microsoft,128000,2015,IT Software & Services,United States,93268.0,20675.0,174848.0,340826.0,0.221673028262641,0.11824556185944363,North America,USA
Legal & General Group,11038,2015,Insurance,United Kingdom,85124.0,1621.9,618472.0,24972.0,0.01905338095014332,0.002622430764852734,Europe,GBR
Hyundai Motor,109748,2015,Consumer Durables,South Korea,84791.0,6979.3,133945.0,32854.0,0.08231180196011369,0.052105715032289376,Asia,KOR
Procter & Gamble,118000,2015,Consumer Durables,United States,81669.0,9532.0,136263.0,224250.0,0.11671503263172073,0.06995295861679253,North America,USA
Home Depot,371000,2015,Retailing,United States,83176.0,6345.0,39946.0,149246.0,0.07628402423776089,0.15883943323486707,North America,USA
Deutsche Telekom,228000,2015,Telecommunications services,Germany,83112.0,3878.5,156532.0,85013.0,0.04666594474925402,0.02477768124089643,Europe,DEU
Munich Re,43316,2015,Insurance,Germany,77016.0,4167.7,323871.0,38246.0,0.05411472940687649,0.012868395132629966,Europe,DEU
Archer Daniels Midland,33900,2015,"Food, Drink & Tobacco",United States,81221.0,2248.0,44027.0,30396.0,0.027677571071520912,0.05105957707770232,North America,USA
ArcelorMittal,222327,2015,Diversified Metals & Mining,Luxembourg,79157.0,-1140.2,99179.0,15783.0,-0.014404285154818905,-0.011496385323505984,Europe,LUX
Dongfeng Motor Group,197192,2015,Consumer Durables,China,13140.0,2084.2,23448.0,14359.0,0.15861491628614915,0.08888604571818491,Asia,CHN
Deutsche Post,443784,2015,Air Courier,Germany,75117.0,2747.1,45178.0,38775.0,0.03657094931906226,0.06080614458364691,Europe,DEU
Sony,131700,2015,Consumer Durables,Japan,76943.0,-1499.6,135763.0,34183.0,-0.019489752154192064,-0.011045719378623042,Asia,JPN
Target,347000,2015,Retailing,United States,73939.0,-1636.0,41404.0,53483.0,-0.022126347394473823,-0.039513090522654816,North America,USA
Johnson & Johnson,126500,2015,Health Care Equipment & Services,United States,74155.0,16323.0,131119.0,275720.0,0.2201200188793743,0.12448996712909648,North America,USA
Indian Oil,34806,2015,Oil & Gas Operations,India,74254.0,1172.4,44653.0,14608.0,0.01578904840143292,0.026255794683447922,Asia,IND
Anthem,51500,2015,Health Care Equipment & Services,United States,73923.0,2569.7,62065.0,41342.0,0.034761846786521104,0.04140336743736405,North America,USA
MetLife,68000,2015,Insurance,United States,70509.0,6309.0,902337.0,57271.0,0.08947793898651236,0.006991844510421273,North America,USA
Zurich Insurance Group,54551,2015,Insurance,Switzerland,73003.0,3884.4,389979.0,51845.0,0.05320877224223662,0.009960536336571969,Europe,CHE
Aviva,26364,2015,Insurance,United Kingdom,51144.0,2583.4,463899.0,24454.0,0.050512279055216644,0.005568884606347502,Europe,GBR
Marubeni,38830,2015,Trading Companies,Japan,74077.0,1207.6,66680.0,10063.0,0.016301956072735126,0.018110377924415114,Asia,JPN
Banco do Brasil,111628,2015,Banking,Brazil,68806.0,5035.6,482899.0,23599.0,0.07318547801063861,0.010427853443473687,South America,BRA
Peugeot,189786,2015,Consumer Durables,France,71107.0,-936.5,74263.0,13694.0,-0.013170292657544264,-0.012610586698625156,Europe,FRA
Panasonic,254084,2015,Consumer Durables,Japan,73463.0,168.6,46854.0,32436.0,0.0022950328736915182,0.0035984120886157,Asia,JPN
Freddie Mac,4982,2015,Diversified Financials,United States,70903.0,7690.0,1945539.0,1580.0,0.10845803421575956,0.003952632149753873,North America,USA
Comcast,139000,2015,Media,United States,68775.0,8380.0,159339.0,147768.0,0.12184660123591422,0.05259227182296864,North America,USA
BHP Billiton,47044,2015,Diversified Metals & Mining,Australia,63096.0,9967.0,146081.0,119547.0,0.15796563966020033,0.06822927006249957,Oceania,AUS
PepsiCo,271000,2015,"Food, Drink & Tobacco",United States,66683.0,6504.0,70509.0,143018.0,0.09753610365460462,0.09224354337744117,North America,USA
Dai-ichi Life Insurance,54090,2015,Insurance,Japan,60851.0,1282.5,346912.0,18072.0,0.021076071058815794,0.003696902960981459,Asia,JPN
Lloyds Banking Group,84490,2015,Banking,United Kingdom,65607.0,1928.1,1332996.0,84443.0,0.029388632310576614,0.0014464409495602386,Europe,GBR
Finatis,340060,2015,Food Markets,France,65219.0,-10.6,60145.0,512.0,-0.00016252932427666784,-0.00017624075151716684,Europe,FRA
United Technologies,211500,2015,Conglomerates,United States,65196.0,6220.0,91289.0,107070.0,0.09540462605067795,0.06813526273702199,North America,USA
Unilever,173000,2015,Consumer Durables,Netherlands,64248.0,6859.0,58115.0,129098.0,0.10675818702527705,0.118024606383894,Europe,NLD
Toshiba,198741,2015,Consumer Durables,Japan,63172.0,794.2,58184.0,17335.0,0.012572025580953588,0.013649800632476283,Asia,JPN
Reliance Industries,24930,2015,Oil & Gas Operations,India,71734.0,3721.9,76589.0,42926.0,0.05188474084813338,0.04859575134810482,Asia,IND
Tokyo Electric Power,43330,2015,Utilities,Japan,63900.0,-1456.6,115256.0,6155.0,-0.022794992175273865,-0.012637953772471714,Asia,JPN
Aegon,28602,2015,Insurance,Netherlands,54323.0,1573.2,502545.0,17466.0,0.028960108977781052,0.0031304659284243203,Europe,NLD
Deutsche Bank,98138,2015,Banking,Germany,56366.0,2207.2,2067616.0,49717.0,0.0391583578753149,0.0010675096342841223,Europe,DEU
China Communications Construction,113189,2015,Construction,China,58452.0,2250.5,101610.0,41220.0,0.03850167658933826,0.022148410589508907,Asia,CHN
CNP Assurances,4705,2015,Insurance,France,57633.0,1432.6,514894.0,12418.0,0.024857286623982785,0.00278232024455519,Europe,FRA
Novartis,133413,2015,Drugs & Biotechnology,Switzerland,53564.0,10140.1,125766.0,272634.0,0.1893081173922784,0.08062671946312994,Europe,CHE
Dow Chemical,53216,2015,Chemicals,United States,58226.0,3751.0,68796.0,56080.0,0.06442139250506647,0.0545235188092331,North America,USA
Aetna,48800,2015,Health Care Equipment & Services,United States,58008.0,2040.8,53402.0,37645.0,0.03518135429595918,0.03821579716115501,North America,USA
Wesfarmers,203000,2015,Food Markets,Australia,55245.0,2469.3,33177.0,37391.0,0.04469725767037741,0.07442806763721856,Oceania,AUS
Bunge,35000,2015,"Food, Drink & Tobacco",United States,57151.0,514.0,21432.0,12220.0,0.008993718395128695,0.023982829413960433,North America,USA
Intesa Sanpaolo,89486,2015,Banking,Italy,35218.0,1786.7,782209.0,58403.0,0.050732579930717246,0.0022841721330232713,Europe,ITA
LG Electronics,83000,2015,Consumer Durables,South Korea,56844.0,379.4,33725.0,8694.0,0.006674407149391316,0.011249814677538918,Asia,KOR
Sberbank,329566,2015,Banking,Russia,58063.0,7567.7,420013.0,26875.0,0.13033601432926303,0.0180177756402778,Asia,RUS
Bayer,118888,2015,Chemicals,Germany,56028.0,4544.4,84983.0,126382.0,0.08110944527736132,0.05347422425661603,Europe,DEU
ConocoPhillips,19100,2015,Oil & Gas Operations,United States,52001.0,6869.0,116539.0,80525.0,0.13209361358435415,0.05894164185380001,North America,USA
Woolworths,198000,2015,Food Markets,Australia,55481.0,2172.5,20688.0,28010.0,0.039157549431336855,0.10501256767208043,Oceania,AUS
Intel,106700,2015,Semiconductors,United States,55870.0,11704.0,91956.0,147197.0,0.20948630749955252,0.12727826351733437,North America,USA
Seven & I Holdings,54665,2015,Food Markets,Japan,55741.0,1596.6,43789.0,37995.0,0.028643189035001165,0.036461211719838314,Asia,JPN
Banco Bradesco,81621,2015,Banking,Brazil,66708.0,6506.3,403072.0,51372.0,0.09753402890208071,0.01614178112099079,South America,BRA
Caterpillar,114233,2015,Capital Goods,United States,55184.0,3695.0,84681.0,49397.0,0.0669578138590896,0.043634345366729256,North America,USA
Bank of Communications,95659,2015,Banking,China,53613.0,10688.3,1010364.0,71248.0,0.1993602297950124,0.010578662739369178,Asia,CHN
Renault,117395,2015,Consumer Durables,France,54457.0,2507.0,98681.0,27524.0,0.04603632223589254,0.025405093179031425,Europe,FRA
Saint-Gobain,181742,2015,Construction,France,54456.0,1264.1,54215.0,25825.0,0.023213236374320552,0.023316425343539608,Europe,FRA
Korea Electric Power,40292,2015,Utilities,South Korea,54600.0,2552.5,148941.0,27040.0,0.04674908424908425,0.017137658535930335,Asia,KOR
Prudential Financial,48331,2015,Insurance,United States,58521.0,1381.0,766655.0,36389.0,0.023598366398386902,0.0018013317593963385,North America,USA
Barclays,132300,2015,Banking,United Kingdom,53014.0,-286.6,2117315.0,63742.0,-0.005406119138340816,-0.00013536011410678148,Europe,GBR
Orange,156233,2015,Telecommunications services,France,52322.0,1227.0,117129.0,43930.0,0.023450938419785176,0.01047562943421356,Europe,FRA
JBS,216693,2015,"Food, Drink & Tobacco",Brazil,51180.0,864.9,31226.0,14723.0,0.01689917936694021,0.027698072119387688,South America,BRA
Nippon Steel & Sumitomo Metal,84447,2015,Diversified Metals & Mining,Japan,53476.0,1923.1,59950.0,23457.0,0.03596192684568778,0.032078398665554626,Asia,JPN
SSE,19965,2015,Utilities,United Kingdom,48731.0,335.4,32067.0,22379.0,0.006882682481377357,0.01045935073439985,Europe,GBR
Itochu,110487,2015,Trading Companies,Japan,53103.0,2846.4,76111.0,17794.0,0.05360149144116152,0.037398010800015764,Asia,JPN
Hyundai Heavy Industries,43266,2015,Capital Goods,South Korea,49952.0,-1681.4,48569.0,7061.0,-0.033660313901345294,-0.03461878976301756,Asia,KOR
Pfizer,78300,2015,Drugs & Biotechnology,United States,49605.0,9081.0,169274.0,211719.0,0.1830662231629876,0.053646750239257066,North America,USA
Manulife Financial,29400,2015,Insurance,Canada,48171.0,3169.9,484249.0,34020.0,0.06580515247763177,0.006546012485312309,North America,CAN
Walt Disney,180000,2015,Media,United States,49781.0,7843.0,87035.0,179525.0,0.15755006930354953,0.09011317286149251,North America,USA
Schlumberger,120000,2015,Oil & Gas Operations,United States,48580.0,5438.0,66904.0,109785.0,0.11193906957595719,0.08128064091833075,North America,USA
Humana,57000,2015,Health Care Equipment & Services,United States,48500.0,1147.0,24099.0,26673.0,0.023649484536082475,0.04759533590605419,North America,USA
Centrica,37530,2015,Oil & Gas Operations,United Kingdom,48422.0,-1666.3,35382.0,18805.0,-0.034412044112180414,-0.047094567859363515,Europe,GBR
OMV Group,25501,2015,Oil & Gas Operations,Austria,47636.0,473.3,43400.0,9373.0,0.009935762868418843,0.01090552995391705,Europe,AUT
Cisco Systems,74042,2015,Technology Hardware & Equipment,United States,48083.0,8653.0,104922.0,138951.0,0.17995965309984818,0.08247078782333543,North America,USA
Anheuser-Busch InBev,154029,2015,"Food, Drink & Tobacco",Belgium,47084.0,9239.5,144888.0,204569.0,0.19623438960156317,0.06376994644138921,Europe,BEL
Sysco,50300,2015,Food Markets,United States,48097.0,871.9,17970.0,22408.0,0.018127949768176808,0.048519755147468,North America,USA
Ingram Micro,21700,2015,Consumer Durables,United States,46487.0,266.7,12831.0,3912.0,0.005737087787983737,0.02078559738134206,North America,USA
Lenovo Group,60000,2015,Technology Hardware & Equipment,China,44320.0,887.0,29247.0,16049.0,0.020013537906137184,0.030327896878312305,Asia,CHN
Coca-Cola,129200,2015,"Food, Drink & Tobacco",United States,45913.0,7098.0,92023.0,179851.0,0.15459673730751639,0.07713289069037088,North America,USA
Continental,189168,2015,Consumer Durables,Germany,45770.0,3150.7,36593.0,47918.0,0.06883766659383876,0.08610116688984232,Europe,DEU
China Merchants Bank,75109,2015,Banking,China,45474.0,9071.9,762706.0,64043.0,0.19949641553415137,0.011894360343303972,Asia,CHN
LyondellBasell Industries,13100,2015,Chemicals,Netherlands,45608.0,4162.0,24283.0,43383.0,0.09125592001403263,0.1713956265700284,Europe,NLD
Lockheed Martin,112000,2015,Aerospace & Defense,United States,45600.0,3614.0,37073.0,63424.0,0.07925438596491229,0.09748334367329323,North America,USA
FedEx,298099,2015,Air Courier,United States,47178.0,2529.0,36108.0,47294.0,0.053605494086226634,0.07003988035892324,North America,USA
Sanofi,113496,2015,Drugs & Biotechnology,France,44794.0,5823.1,117849.0,135957.0,0.12999732106978615,0.049411535100000854,Europe,FRA
Bouygues,127470,2015,Construction,France,43956.0,1070.4,42192.0,13700.0,0.024351624351624353,0.02536973833902162,Europe,FRA
Johnson Controls,168000,2015,Consumer Durables,United States,42920.0,1253.0,31707.0,33187.0,0.02919384902143523,0.039518087488567194,North America,USA
UniCredit Group,129021,2015,Banking,Italy,30523.0,2662.2,1021545.0,41344.0,0.08721947383939979,0.002606052596801903,Europe,ITA
Royal Ahold,126000,2015,Food Markets,Netherlands,43473.0,1045.2,17108.0,18245.0,0.024042509143606377,0.06109422492401216,Europe,NLD
World Fuel Services,4041,2015,Retailing,United States,43337.0,221.7,4880.0,4148.0,0.005115720977455753,0.045430327868852455,North America,USA
Fujitsu,158846,2015,Technology Hardware & Equipment,Japan,45107.0,925.1,26809.0,14609.0,0.02050901190502583,0.03450706852176508,Asia,JPN
Wilmar International,92000,2015,"Food, Drink & Tobacco",Singapore,43079.0,1158.2,43558.0,15236.0,0.026885489449615822,0.02658983424399651,Asia,SGP
Tata Motors,75502,2015,Consumer Durables,India,42302.0,2652.6,37409.0,28773.0,0.06270625502340314,0.07090807025047448,Asia,IND
MS&AD Insurance,38358,2015,Insurance,Japan,44291.0,1327.7,153367.0,18101.0,0.029976744711115125,0.008657012264698404,Asia,JPN
American Airlines Group,113300,2015,Airline,United States,42649.0,2883.0,43771.0,33495.0,0.06759830242209665,0.06586552740398895,North America,USA
Merck,70000,2015,Drugs & Biotechnology,Germany,15255.0,1535.1,32100.0,50667.0,0.10062930186823991,0.047822429906542056,Europe,DEU
State Bank of India,293459,2015,Banking,India,40796.0,2347.5,400638.0,32987.0,0.05754240611824689,0.005859404250220897,Asia,IND
Christian Dior,107012,2015,Consumer Durables,France,42804.0,3097.2,70391.0,35086.0,0.07235772357723577,0.043999943174553566,Europe,FRA
Best Buy,125000,2015,Retailing,United States,41520.0,1231.0,15256.0,13457.0,0.02964836223506744,0.08068956476140535,North America,USA
National Australia Bank,42853,2015,Banking,Australia,33444.0,4873.2,772932.0,71650.0,0.14571223537854322,0.006304823710235829,Oceania,AUS
KDDI,28173,2015,Telecommunications services,Japan,42566.0,3820.1,43532.0,64026.0,0.08974533665366724,0.08775383625838463,Asia,JPN
Commonwealth Bank,44329,2015,Banking,Australia,39576.0,8074.8,696182.0,117070.0,0.20403274711946634,0.011598691146855277,Oceania,AUS
Industrial Bank,50214,2015,Banking,China,39426.0,7550.0,650798.0,57893.0,0.191497996246132,0.011601141982612116,Asia,CHN
Delta Air Lines,79655,2015,Airline,United States,40315.0,659.0,54121.0,34422.0,0.016346273099342678,0.012176419504443746,North America,USA
Honeywell International,127000,2015,Conglomerates,United States,40306.0,4239.0,45451.0,81568.0,0.10517044608743115,0.09326527469142593,North America,USA
HCA Holdings,197000,2015,Health Care Equipment & Services,United States,36918.0,1875.0,31199.0,31861.0,0.050788233382090035,0.0600980800666688,North America,USA
Goldman Sachs Group,34000,2015,Diversified Financials,United States,40085.0,8477.0,856240.0,86474.0,0.2114756143195709,0.009900261608894702,North America,USA
Tesoro,5641,2015,Oil & Gas Operations,United States,40607.0,843.0,16584.0,10896.0,0.020759967493289334,0.05083212735166426,North America,USA
Bharat Petroleum,13570,2015,Oil & Gas Operations,India,40580.0,647.1,15131.0,9331.0,0.01594627895515032,0.04276650584891944,Asia,IND
China Minsheng Banking,59659,2015,Banking,China,40000.0,7228.2,647185.0,51702.0,0.180705,0.011168676653507112,Asia,CHN
Jardine Matheson,430000,2015,Conglomerates,Hong Kong,39921.0,1710.0,66457.0,43176.0,0.042834598331705116,0.025730923755210137,Asia,HKG
Iberdrola,28021,2015,Utilities,Spain,39836.0,3184.2,113468.0,42310.0,0.07993272416909328,0.028062537455494058,Europe,ESP
ABB,140400,2015,Conglomerates,Switzerland,40071.0,2597.7,45193.0,50328.0,0.06482743130942577,0.05748014072975903,Europe,CHE
Credit Suisse Group,45800,2015,Diversified Financials,Switzerland,38441.0,2050.6,927351.0,44379.0,0.05334408574178611,0.0022112447174802204,Europe,CHE
Tokio Marine Holdings,33786,2015,Insurance,Japan,38686.0,2341.9,170714.0,29490.0,0.06053611125471747,0.013718265637264665,Asia,JPN
Mitsubishi Electric,129249,2015,Capital Goods,Japan,40721.0,1929.0,31975.0,26203.0,0.04737113528646153,0.06032838154808444,Asia,JPN
Talanx,19819,2015,Insurance,Germany,37699.0,988.2,173803.0,8255.0,0.02621289689381681,0.005685747656829859,Europe,DEU
Denso,146714,2015,Consumer Durables,Japan,40054.0,2430.2,39869.0,40334.0,0.060673091326708936,0.06095462640146479,Asia,JPN
United Continental Holdings,84000,2015,Airline,United States,38901.0,1130.0,37353.0,23100.0,0.029048096449962726,0.03025192086311675,North America,USA
Royal Bank of Canada,73498,2015,Banking,Canada,38869.0,8328.1,857049.0,89306.0,0.2142607219120636,0.009717180697953093,North America,CAN
Oracle,122000,2015,IT Software & Services,United States,38841.0,10827.0,98816.0,187609.0,0.2787518344017919,0.10956727655440414,North America,USA
Morgan Stanley,55802,2015,Diversified Financials,United States,38983.0,3463.0,803065.0,70803.0,0.08883359413077495,0.0043122287735114844,North America,USA
Idemitsu Kosan,8829,2015,Oil & Gas Operations,Japan,46803.0,-595.5,24949.0,2820.0,-0.012723543362604962,-0.023868692131949178,Asia,JPN
GlaxoSmithKline,97921,2015,Drugs & Biotechnology,United Kingdom,37881.0,4537.9,63385.0,114126.0,0.11979356405585913,0.07159264810286345,Europe,GBR
Tyson Foods,124000,2015,"Food, Drink & Tobacco",United States,39582.0,919.0,23758.0,15812.0,0.02321762417260371,0.03868170721441199,North America,USA
Vale,76531,2015,Diversified Metals & Mining,Brazil,37502.0,405.3,116400.0,29042.0,0.01080742360407445,0.003481958762886598,South America,BRA
Swiss Re,12224,2015,Insurance,Switzerland,37128.0,3458.5,197511.0,36803.0,0.09315072182719242,0.017510417141323776,Europe,CHE
Suncor Energy,13980,2015,Oil & Gas Operations,Canada,36092.0,2443.7,68786.0,44947.0,0.06770752521334367,0.035526124502078905,North America,CAN
Magna International,131225,2015,Consumer Durables,Canada,36649.0,1882.7,18139.0,22174.0,0.05137111517367459,0.10379293235569767,North America,CAN
Mitsubishi Heavy Industries,81845,2015,Capital Goods,Japan,35618.0,1449.2,44026.0,18781.0,0.040687292941771015,0.03291691273338482,Asia,JPN
American Express,54000,2015,Diversified Financials,United States,36014.0,5839.0,159103.0,80876.0,0.16213139334703172,0.03669949655254772,North America,USA
Hindustan Petroleum,10634,2015,Oil & Gas Operations,India,36084.0,178.8,16561.0,3564.0,0.0049551047555703364,0.010796449489765112,Asia,IND
China Pacific Insurance,90829,2015,Insurance,China,35546.0,1793.2,132995.0,48367.0,0.05044730771394813,0.013483213654648671,Asia,CHN
Korea Gas,3349,2015,Oil & Gas Operations,South Korea,35420.0,424.9,42553.0,3025.0,0.01199604743083004,0.0099851949333772,Asia,KOR
Allstate,39950,2015,Insurance,United States,34874.0,2850.0,110306.0,29488.0,0.08172277341285772,0.025837216470545574,North America,USA
Canon,191889,2015,Business Services & Supplies,Japan,35213.0,2407.2,37204.0,49763.0,0.06836111663306164,0.0647027201376196,Asia,JPN
Standard Life,8335,2015,Insurance,United Kingdom,27327.0,828.2,326029.0,14125.0,0.030307022358839246,0.002540264823067887,Europe,GBR
Hutchison Whampoa,280000,2015,Conglomerates,Hong Kong,35096.0,8660.1,113920.0,59776.0,0.2467546159106451,0.07601913623595506,Asia,HKG
JFE Holdings,58856,2015,Diversified Metals & Mining,Japan,36307.0,1253.6,37963.0,13604.0,0.034527777012697276,0.03302162632036456,Asia,JPN
Cigna,37200,2015,Health Care Equipment & Services,United States,34950.0,2102.0,57006.0,34075.0,0.06014306151645207,0.036873311581237064,North America,USA
