Empresa,Industria,País,Ingresos,Ganancias,Activos,Valor de Mercado,Margen de Rentabilidad,ROA,Año,Continente,Codigo_pais
HSBC Holdings,Banking,United Kingdom,81086.0,13536.7,2634139.0,167746.0,0.1669425054880004,0.005138946729842275,2015,Europe,GBR
Chevron,Oil & Gas Operations,United States,191755.0,19241.0,266026.0,201029.0,0.10034158170582254,0.07232751685925436,2015,North America,USA
Wal-Mart Stores,Retailing,United States,485651.0,16363.0,203706.0,261279.0,0.03369291940096901,0.0803265490461744,2015,North America,USA
Samsung Electronics,Semiconductors,South Korea,195891.0,21927.8,209637.0,199356.0,0.11193878228198334,0.10459890191139923,2015,Asia,KOR
Citigroup,Banking,United States,93929.0,7203.0,1846006.0,156663.0,0.07668558166274526,0.0039019374801598696,2015,North America,USA
China Mobile,Telecommunications services,China,104086.0,17724.0,208970.0,271486.0,0.17028226658724516,0.08481600229698043,2015,Asia,CHN
Allianz,Insurance,Germany,128401.0,8250.5,978980.0,82007.0,0.06425573009556,0.008427649185887353,2015,Europe,DEU
Verizon Communications,Telecommunications services,United States,127079.0,9625.0,232708.0,202490.0,0.07574028753767341,0.041360847070148,2015,North America,USA
Bank of America,Banking,United States,97021.0,4833.0,2114110.0,163171.0,0.04981395780294988,0.002286068369195548,2015,North America,USA
Sinopec,Oil & Gas Operations,China,427595.0,7697.5,233941.0,121023.0,0.018001847542651342,0.03290359535096456,2015,Asia,CHN
Microsoft,IT Software & Services,United States,93268.0,20675.0,174848.0,340826.0,0.221673028262641,0.11824556185944363,2015,North America,USA
Daimler,Consumer Durables,Germany,172268.0,9234.7,229468.0,103272.0,0.05360658973227762,0.0402439555842209,2015,Europe,DEU
AT&T,Telecommunications services,United States,132447.0,6224.0,292829.0,172988.0,0.04699238185840374,0.021254725454104614,2015,North America,USA
Gazprom,Oil & Gas Operations,Russia,157974.0,24099.9,356029.0,62486.0,0.15255611682935166,0.06769083417362069,2015,Asia,RUS
AXA Group,Insurance,France,153838.0,6267.5,1016563.0,64247.0,0.04074090926819121,0.006165382765259015,2015,Europe,FRA
Nestle,"Food, Drink & Tobacco",Switzerland,100077.0,15791.8,134303.0,247294.0,0.1577964966975429,0.11758337490599614,2015,Europe,CHE
Banco Santander,Banking,Spain,56361.0,7714.6,1532282.0,109351.0,0.1368783378577385,0.005034712931431682,2015,Europe,ESP
Ping An Insurance Group,Insurance,China,75349.0,6374.7,645698.0,113846.0,0.08460231721721588,0.009872572007347088,2015,Asia,CHN
Mitsubishi UFJ Financial,Banking,Japan,49156.0,10641.4,2328522.0,90923.0,0.21648221987142974,0.004570023388226523,2015,Asia,JPN
Johnson & Johnson,Health Care Equipment & Services,United States,74155.0,16323.0,131119.0,275720.0,0.2201200188793743,0.12448996712909648,2015,North America,USA
Total,Oil & Gas Operations,France,211355.0,4244.0,229798.0,120222.0,0.020079960256440585,0.01846839398080053,2015,Europe,FRA
Procter & Gamble,Consumer Durables,United States,81669.0,9532.0,136263.0,224250.0,0.11671503263172073,0.06995295861679253,2015,North America,USA
China Life Insurance,Insurance,China,71439.0,5219.4,362116.0,160495.0,0.07306093310376685,0.014413613317279545,2015,Asia,CHN
Bank of Communications,Banking,China,53613.0,10688.3,1010364.0,71248.0,0.1993602297950124,0.010578662739369178,2015,Asia,CHN
Google,IT Software & Services,United States,65977.0,13704.0,131133.0,367587.0,0.2077087469875866,0.10450458694607764,2015,North America,USA
Vodafone,Telecommunications services,United Kingdom,66306.0,77401.4,200480.0,88035.0,1.1673362893252495,0.38608040702314445,2015,Europe,GBR
BP,Oil & Gas Operations,United Kingdom,352753.0,3494.4,284305.0,120813.0,0.009906081592502404,0.012291025483195864,2015,Europe,GBR
American International Group,Insurance,United States,67504.0,7562.0,515581.0,75037.0,0.11202299123014932,0.01466694854930651,2015,North America,USA
Itaú Unibanco Holding,Banking,Brazil,76571.0,9157.3,424047.0,63727.0,0.11959227383735356,0.02159501187368381,2015,South America,BRA
IBM,IT Software & Services,United States,93357.0,12022.0,117532.0,160164.0,0.12877448932592092,0.10228703672191403,2015,North America,USA
BMW Group,Consumer Durables,Germany,106648.0,7690.7,187319.0,81445.0,0.07211293226314605,0.04105670006779878,2015,Europe,DEU
Comcast,Media,United States,68775.0,8380.0,159339.0,147768.0,0.12184660123591422,0.05259227182296864,2015,North America,USA
Commonwealth Bank,Banking,Australia,39576.0,8074.8,696182.0,117070.0,0.20403274711946634,0.011598691146855277,2015,Oceania,AUS
Pfizer,Drugs & Biotechnology,United States,49605.0,9081.0,169274.0,211719.0,0.1830662231629876,0.053646750239257066,2015,North America,USA
Goldman Sachs Group,Diversified Financials,United States,40085.0,8477.0,856240.0,86474.0,0.2114756143195709,0.009900261608894702,2015,North America,USA
BHP Billiton,Diversified Metals & Mining,Australia,63096.0,9967.0,146081.0,119547.0,0.15796563966020033,0.06822927006249957,2015,Oceania,AUS
MetLife,Insurance,United States,70509.0,6309.0,902337.0,57271.0,0.08947793898651236,0.006991844510421273,2015,North America,USA
Novartis,Drugs & Biotechnology,Switzerland,53564.0,10140.1,125766.0,272634.0,0.1893081173922784,0.08062671946312994,2015,Europe,CHE
Royal Bank of Canada,Banking,Canada,38869.0,8328.1,857049.0,89306.0,0.2142607219120636,0.009717180697953093,2015,North America,CAN
Siemens,Conglomerates,Germany,97369.0,6658.8,131568.0,97671.0,0.06838726904867053,0.05061109084275812,2015,Europe,DEU
China Merchants Bank,Banking,China,45474.0,9071.9,762706.0,64043.0,0.19949641553415137,0.011894360343303972,2015,Asia,CHN
Prudential,Insurance,United Kingdom,99001.0,3648.8,564506.0,64526.0,0.03685619337178413,0.006463704548755903,2015,Europe,GBR
Anheuser-Busch InBev,"Food, Drink & Tobacco",Belgium,47084.0,9239.5,144888.0,204569.0,0.19623438960156317,0.06376994644138921,2015,Europe,BEL
Nippon Telegraph & Tel,Telecommunications services,Japan,104700.0,5206.5,172170.0,71531.0,0.04972779369627507,0.030240460010454783,2015,Asia,JPN
Rosneft,Oil & Gas Operations,Russia,128977.0,9012.8,149972.0,51100.0,0.06987912573559626,0.060096551356253164,2015,Asia,RUS
Westpac Banking Group,Banking,Australia,35555.0,6949.4,674525.0,94152.0,0.19545492898326536,0.01030265742559579,2015,Oceania,AUS
Banco Bradesco,Banking,Brazil,66708.0,6506.3,403072.0,51372.0,0.09753402890208071,0.01614178112099079,2015,South America,BRA
Softbank,Telecommunications services,Japan,80644.0,5840.8,168801.0,70286.0,0.07242696294826646,0.034601690748277555,2015,Asia,JPN
Honda Motor,Consumer Durables,Japan,117055.0,5625.3,148670.0,61359.0,0.04805689633078467,0.037837492432905094,2015,Asia,JPN
General Motors,Consumer Durables,United States,155929.0,3949.0,177677.0,59036.0,0.025325628972160407,0.022225724207410074,2015,North America,USA
UnitedHealth Group,Health Care Equipment & Services,United States,130500.0,5619.0,86382.0,112006.0,0.04305747126436782,0.06504827394596097,2015,North America,USA
TD Bank Group,Banking,Canada,32741.0,6996.8,851891.0,80371.0,0.21370147521456279,0.008213257329869666,2015,North America,CAN
Intel,Semiconductors,United States,55870.0,11704.0,91956.0,147197.0,0.20948630749955252,0.12727826351733437,2015,North America,USA
EDF,Utilities,France,96663.0,4690.3,324280.0,46266.0,0.048522185324270925,0.014463735043789318,2015,Europe,FRA
Ford Motor,Consumer Durables,United States,144077.0,3187.0,208527.0,63598.0,0.022120116326686423,0.015283392558277825,2015,North America,USA
Deutsche Telekom,Telecommunications services,Germany,83112.0,3878.5,156532.0,85013.0,0.04666594474925402,0.02477768124089643,2015,Europe,DEU
BASF,Chemicals,Germany,98589.0,6837.8,90172.0,93536.0,0.06935662193551005,0.0758306347868518,2015,Europe,DEU
Boeing,Aerospace & Defense,United States,90784.0,5441.0,99198.0,105627.0,0.05993346845259077,0.054849896167261436,2015,North America,USA
Industrial Bank,Banking,China,39426.0,7550.0,650798.0,57893.0,0.191497996246132,0.011601141982612116,2015,Asia,CHN
UBS,Banking,Switzerland,39784.0,3901.0,1069268.0,74717.0,0.09805449426905288,0.0036482902321962316,2015,Europe,CHE
ANZ,Banking,Australia,32613.0,6681.6,676701.0,77583.0,0.20487535645294822,0.009873784729149212,2015,Oceania,AUS
Cisco Systems,Technology Hardware & Equipment,United States,48083.0,8653.0,104922.0,138951.0,0.17995965309984818,0.08247078782333543,2015,North America,USA
Sumitomo Mitsui Financial,Banking,Japan,34836.0,7679.5,1465414.0,54794.0,0.2204472384889195,0.005240498589477103,2015,Asia,JPN
Zurich Insurance Group,Insurance,Switzerland,73003.0,3884.4,389979.0,51845.0,0.05320877224223662,0.009960536336571969,2015,Europe,CHE
China Minsheng Banking,Banking,China,40000.0,7228.2,647185.0,51702.0,0.180705,0.011168676653507112,2015,Asia,CHN
Merck & Co,Drugs & Biotechnology,United States,42197.0,11920.0,98335.0,162288.0,0.2824845368154134,0.12121828443585701,2015,North America,USA
Roche Holding,Drugs & Biotechnology,Switzerland,51848.0,10194.3,76124.0,240395.0,0.19661896312297483,0.1339170301087699,2015,Europe,CHE
Citic Pacific,Diversified Metals & Mining,Hong Kong,51856.0,5136.8,766982.0,44264.0,0.09905893242826289,0.006697419235392747,2015,Asia,HKG
National Australia Bank,Banking,Australia,33444.0,4873.2,772932.0,71650.0,0.14571223537854322,0.006304823710235829,2015,Oceania,AUS
Shanghai Pudong Development,Banking,China,38243.0,7632.0,676326.0,49235.0,0.19956593363491357,0.011284498895503056,2015,Asia,CHN
Walt Disney,Media,United States,49781.0,7843.0,87035.0,179525.0,0.15755006930354953,0.09011317286149251,2015,North America,USA
CVS Health,Retailing,United States,139367.0,4636.0,74252.0,117421.0,0.033264689632409396,0.062436028659160696,2015,North America,USA
Telefónica,Telecommunications services,Spain,66822.0,3982.0,147988.0,72318.0,0.05959115261440843,0.02690758710165689,2015,Europe,ESP
Oracle,IT Software & Services,United States,38841.0,10827.0,98816.0,187609.0,0.2787518344017919,0.10956727655440414,2015,North America,USA
ConocoPhillips,Oil & Gas Operations,United States,52001.0,6869.0,116539.0,80525.0,0.13209361358435415,0.05894164185380001,2015,North America,USA
Sanofi,Drugs & Biotechnology,France,44794.0,5823.1,117849.0,135957.0,0.12999732106978615,0.049411535100000854,2015,Europe,FRA
United Technologies,Conglomerates,United States,65196.0,6220.0,91289.0,107070.0,0.09540462605067795,0.06813526273702199,2015,North America,USA
ING Group,Banking,Netherlands,65729.0,2572.0,1195717.0,58875.0,0.03913036863484915,0.002151010648840821,2015,Europe,NLD
Coca-Cola,"Food, Drink & Tobacco",United States,45913.0,7098.0,92023.0,179851.0,0.15459673730751639,0.07713289069037088,2015,North America,USA
China Citic Bank,Banking,China,38311.0,6602.7,667120.0,49679.0,0.17234475738038682,0.009897319822520685,2015,Asia,CHN
Morgan Stanley,Diversified Financials,United States,38983.0,3463.0,803065.0,70803.0,0.08883359413077495,0.0043122287735114844,2015,North America,USA
Hewlett-Packard,Technology Hardware & Equipment,United States,109763.0,4954.0,100861.0,57853.0,0.045133606042108906,0.04911710175389893,2015,North America,USA
Nissan Motor,Consumer Durables,Japan,106683.0,4286.7,138936.0,45871.0,0.04018165968336098,0.030853774399723612,2015,Asia,JPN
GDF SUEZ,Utilities,France,99067.0,3236.5,200027.0,49544.0,0.0326698093209646,0.016180315657386254,2015,Europe,FRA
PepsiCo,"Food, Drink & Tobacco",United States,66683.0,6504.0,70509.0,143018.0,0.09753610365460462,0.09224354337744117,2015,North America,USA
Lloyds Banking Group,Banking,United Kingdom,65607.0,1928.1,1332996.0,84443.0,0.029388632310576614,0.0014464409495602386,2015,Europe,GBR
Munich Re,Insurance,Germany,77016.0,4167.7,323871.0,38246.0,0.05411472940687649,0.012868395132629966,2015,Europe,DEU
Société Générale,Banking,France,54173.0,3570.8,1582951.0,40651.0,0.06591475458254112,0.002255786818416995,2015,Europe,FRA
CNOOC,Oil & Gas Operations,China,44570.0,9769.0,106844.0,64384.0,0.21918330715728068,0.09143236868705777,2015,Asia,CHN
Statoil,Oil & Gas Operations,Norway,95139.0,3473.2,131563.0,58041.0,0.03650658510179842,0.026399519621778157,2015,Europe,NOR
American Express,Diversified Financials,United States,36014.0,5839.0,159103.0,80876.0,0.16213139334703172,0.03669949655254772,2015,North America,USA
Rio Tinto,Diversified Metals & Mining,United Kingdom,47641.0,6495.4,107827.0,76526.0,0.13634054700782938,0.060239086685153063,2015,Europe,GBR
Bank of Nova Scotia,Banking,Canada,27897.0,6369.3,671851.0,61347.0,0.2283148725669427,0.009480227014620802,2015,North America,CAN
Bayer,Chemicals,Germany,56028.0,4544.4,84983.0,126382.0,0.08110944527736132,0.05347422425661603,2015,Europe,DEU
LukOil,Oil & Gas Operations,Russia,121359.0,4746.0,111800.0,43504.0,0.039107111957086,0.04245080500894454,2015,Asia,RUS
Glencore International,Diversified Metals & Mining,Switzerland,220934.0,2292.5,152205.0,54869.0,0.010376402002407959,0.015061923064288295,2015,Europe,CHE
Credit Agricole,Banking,France,48526.0,3108.7,1922861.0,39952.0,0.0640625643984668,0.0016167055236962005,2015,Europe,FRA
China State Construction Engineering,Construction,China,120336.0,3884.6,150625.0,36806.0,0.03228127908522803,0.0257898755186722,2015,Asia,CHN
Unilever,Consumer Durables,Netherlands,64248.0,6859.0,58115.0,129098.0,0.10675818702527705,0.118024606383894,2015,Europe,NLD
Deutsche Bank,Banking,Germany,56366.0,2207.2,2067616.0,49717.0,0.0391583578753149,0.0010675096342841223,2015,Europe,DEU
BBVA-Banco Bilbao Vizcaya,Banking,Spain,28148.0,3472.6,764681.0,66117.0,0.12336933352280802,0.004541240072657749,2015,Europe,ESP
Saudi Basic Industries,Chemicals,Saudi Arabia,50361.0,6247.4,90888.0,64004.0,0.1240523420901094,0.06873734706451896,2015,Asia,SAU
Hyundai Motor,Consumer Durables,South Korea,84791.0,6979.3,133945.0,32854.0,0.08231180196011369,0.052105715032289376,2015,Asia,KOR
Hutchison Whampoa,Conglomerates,Hong Kong,35096.0,8660.1,113920.0,59776.0,0.2467546159106451,0.07601913623595506,2015,Asia,HKG
Mizuho Financial,Banking,Japan,27033.0,6126.6,1634734.0,43648.0,0.22663411386083676,0.003747765691543701,2015,Asia,JPN
EADS,Aerospace & Defense,France,80532.0,3107.9,116288.0,52437.0,0.03859211245219292,0.026725887451843698,2015,Europe,FRA
Eni,Oil & Gas Operations,Italy,145893.0,1768.2,176898.0,64246.0,0.012119841253521417,0.009995590679374555,2015,Europe,ITA
Hon Hai Precision,Consumer Durables,Taiwan,139034.0,4307.6,77929.0,44608.0,0.030982349641094985,0.05527595631921365,2015,Asia,TWN
Schlumberger,Oil & Gas Operations,United States,48580.0,5438.0,66904.0,109785.0,0.11193906957595719,0.08128064091833075,2015,North America,USA
Sberbank,Banking,Russia,58063.0,7567.7,420013.0,26875.0,0.13033601432926303,0.0180177756402778,2015,Asia,RUS
América Móvil,Telecommunications services,Mexico,63744.0,3450.9,85233.0,74516.0,0.05413685993975904,0.040487839217204606,2015,North America,MEX
US Bancorp,Banking,United States,20252.0,5826.0,406214.0,77227.0,0.28767529132925146,0.01434219401596203,2015,North America,USA
China Shenhua Energy,Diversified Metals & Mining,China,39638.0,5971.8,85847.0,63774.0,0.15065845905444272,0.06956329283492725,2015,Asia,CHN
Manulife Financial,Insurance,Canada,48171.0,3169.9,484249.0,34020.0,0.06580515247763177,0.006546012485312309,2015,North America,CAN
Generali Group,Insurance,Italy,111737.0,2216.5,601322.0,31631.0,0.019836759533547528,0.003686045080672252,2015,Europe,ITA
SAIC Motor,Consumer Durables,China,99519.0,4427.1,62135.0,47119.0,0.04448497271877732,0.07124969823770823,2015,Asia,CHN
Mitsubishi Corp,Trading Companies,Japan,73139.0,3818.3,143029.0,32801.0,0.052206073367150226,0.026695984730369368,2015,Asia,JPN
Nordea Bank,Banking,Sweden,20825.0,4419.8,809937.0,50846.0,0.21223529411764708,0.005456967640693042,2015,Europe,SWE
Banco do Brasil,Banking,Brazil,68806.0,5035.6,482899.0,23599.0,0.07318547801063861,0.010427853443473687,2015,South America,BRA
Home Depot,Retailing,United States,83176.0,6345.0,39946.0,149246.0,0.07628402423776089,0.15883943323486707,2015,North America,USA
GlaxoSmithKline,Drugs & Biotechnology,United Kingdom,37881.0,4537.9,63385.0,114126.0,0.11979356405585913,0.07159264810286345,2015,Europe,GBR
AIA Group,Insurance,Hong Kong,25433.0,3449.9,165262.0,76673.0,0.1356466008728817,0.02087533734312788,2015,Asia,HKG
Caterpillar,Capital Goods,United States,55184.0,3695.0,84681.0,49397.0,0.0669578138590896,0.043634345366729256,2015,North America,USA
UniCredit Group,Banking,Italy,30523.0,2662.2,1021545.0,41344.0,0.08721947383939979,0.002606052596801903,2015,Europe,ITA
Credit Suisse Group,Diversified Financials,Switzerland,38441.0,2050.6,927351.0,44379.0,0.05334408574178611,0.0022112447174802204,2015,Europe,CHE
Dow Chemical,Chemicals,United States,58226.0,3751.0,68796.0,56080.0,0.06442139250506647,0.0545235188092331,2015,North America,USA
Capital One Financial,Diversified Financials,United States,23785.0,4410.0,310212.0,44132.0,0.18541097330250159,0.01421608448415922,2015,North America,USA
Intesa Sanpaolo,Banking,Italy,35218.0,1786.7,782209.0,58403.0,0.050732579930717246,0.0022841721330232713,2015,Europe,ITA
Reliance Industries,Oil & Gas Operations,India,71734.0,3721.9,76589.0,42926.0,0.05188474084813338,0.04859575134810482,2015,Asia,IND
China Telecom,Telecommunications services,China,52653.0,2867.6,90470.0,53869.0,0.05446223387081458,0.03169669503702885,2015,Asia,CHN
China Everbright Bank,Banking,China,25237.0,4688.0,441169.0,35058.0,0.18575900463605025,0.010626313272238076,2015,Asia,CHN
Swiss Re,Insurance,Switzerland,37128.0,3458.5,197511.0,36803.0,0.09315072182719242,0.017510417141323776,2015,Europe,CHE
Phillips 66,Oil & Gas Operations,United States,149828.0,4757.0,48741.0,42600.0,0.031749739701524414,0.09759750518044356,2015,North America,USA
Hitachi,Consumer Durables,Japan,91259.0,2953.4,102721.0,33491.0,0.032362835446366936,0.028751667137196874,2015,Asia,JPN
Møller-Maersk,Transportation,Denmark,47544.0,5015.0,68844.0,46891.0,0.10548123843176847,0.07284585439544478,2015,Europe,DNK
"Twenty-First Century Fox, Inc.",Media,United States,32606.0,9296.0,52652.0,72454.0,0.28510090167453844,0.17655549646737065,2015,North America,USA
Iberdrola,Utilities,Spain,39836.0,3184.2,113468.0,42310.0,0.07993272416909328,0.028062537455494058,2015,Europe,ESP
State Bank of India,Banking,India,40796.0,2347.5,400638.0,32987.0,0.05754240611824689,0.005859404250220897,2015,Asia,IND
Standard Chartered,Banking,United Kingdom,24815.0,2584.4,725914.0,39779.0,0.10414668547249648,0.003560201346164973,2015,Europe,GBR
Bank of Montreal,Banking,Canada,20071.0,3783.9,530272.0,39732.0,0.18852573364555827,0.007135771830305957,2015,North America,CAN
China Communications Construction,Construction,China,58452.0,2250.5,101610.0,41220.0,0.03850167658933826,0.022148410589508907,2015,Asia,CHN
Qualcomm,Semiconductors,United States,26964.0,8063.0,48447.0,111774.0,0.2990283340750631,0.16642929386752534,2015,North America,USA
Prudential Financial,Insurance,United States,58521.0,1381.0,766655.0,36389.0,0.023598366398386902,0.0018013317593963385,2015,North America,USA
Taiwan Semiconductor,Semiconductors,Taiwan,25173.0,8708.6,47311.0,123323.0,0.3459500258213165,0.1840713576123946,2015,Asia,TWN
Honeywell International,Conglomerates,United States,40306.0,4239.0,45451.0,81568.0,0.10517044608743115,0.09326527469142593,2015,North America,USA
China Railway Group,Construction,China,96825.0,1681.1,110098.0,39709.0,0.017362251484637232,0.015269123871459971,2015,Asia,CHN
Amgen,Drugs & Biotechnology,United States,20058.0,5158.0,69009.0,117689.0,0.25715425266726494,0.07474387398745092,2015,North America,USA
Aviva,Insurance,United Kingdom,51144.0,2583.4,463899.0,24454.0,0.050512279055216644,0.005568884606347502,2015,Europe,GBR
Time Warner,Media,United States,28101.0,3816.0,63259.0,70827.0,0.1357958791502082,0.06032343223889091,2015,North America,USA
Express Scripts,Health Care Equipment & Services,United States,100887.0,2007.6,53799.0,61860.0,0.019899491510303607,0.03731667874867563,2015,North America,USA
VINCI,Construction,France,51788.0,3297.5,77551.0,35233.0,0.06367305167220205,0.04252040592642261,2015,Europe,FRA
Walgreens Boots Alliance,Retailing,United States,77617.0,2046.0,48616.0,95926.0,0.02636020459435433,0.042084910317590915,2015,North America,USA
Anthem,Health Care Equipment & Services,United States,73923.0,2569.7,62065.0,41342.0,0.034761846786521104,0.04140336743736405,2015,North America,USA
Union Pacific,Transportation,United States,23988.0,5180.0,52716.0,93485.0,0.215941303985326,0.09826238713104181,2015,North America,USA
China Railway Construction,Construction,China,94081.0,1839.9,99453.0,33700.0,0.019556552332564495,0.018500196072516666,2015,Asia,CHN
PNC Financial Services,Banking,United States,15958.0,4173.0,345072.0,48159.0,0.2614989347035969,0.012093128390596746,2015,North America,USA
Korea Electric Power,Utilities,South Korea,54600.0,2552.5,148941.0,27040.0,0.04674908424908425,0.017137658535930335,2015,Asia,KOR
McKesson,Drugs & Biotechnology,United States,173962.0,1715.0,55110.0,52257.0,0.009858474839332727,0.03111957902377064,2015,North America,USA
China Pacific Insurance,Insurance,China,35546.0,1793.2,132995.0,48367.0,0.05044730771394813,0.013483213654648671,2015,Asia,CHN
EI du Pont de Nemours,Chemicals,United States,35283.0,3625.0,49876.0,65228.0,0.10274069665277896,0.07268024701259122,2015,North America,USA
Legal & General Group,Insurance,United Kingdom,85124.0,1621.9,618472.0,24972.0,0.01905338095014332,0.002622430764852734,2015,Europe,GBR
KDDI,Telecommunications services,Japan,42566.0,3820.1,43532.0,64026.0,0.08974533665366724,0.08775383625838463,2015,Asia,JPN
National Grid,Utilities,United Kingdom,23934.0,3547.4,84608.0,48994.0,0.14821592713294895,0.04192747730711044,2015,Europe,GBR
L'Oréal Group,Consumer Durables,France,29887.0,6513.1,38798.0,106559.0,0.21792418108207584,0.16787205526058044,2015,Europe,FRA
Travelers Cos,Insurance,United States,27188.0,3665.0,105213.0,34489.0,0.13480211858172722,0.03483409844791043,2015,North America,USA
Christian Dior,Consumer Durables,France,42804.0,3097.2,70391.0,35086.0,0.07235772357723577,0.043999943174553566,2015,Europe,FRA
Tokio Marine Holdings,Insurance,Japan,38686.0,2341.9,170714.0,29490.0,0.06053611125471747,0.013718265637264665,2015,Asia,JPN
Valero Energy,Oil & Gas Operations,United States,130844.0,3630.0,45550.0,30600.0,0.027742961083427595,0.0796926454445664,2015,North America,USA
Oil & Natural Gas,Oil & Gas Operations,India,28689.0,4386.0,59324.0,43665.0,0.15288089511659522,0.07393297822129324,2015,Asia,IND
Mitsui & Co,Trading Companies,Japan,52666.0,3539.3,105779.0,23612.0,0.06720274940189117,0.033459382297053294,2015,Asia,JPN
China Unicom,Telecommunications services,China,46212.0,1955.7,88026.0,39846.0,0.04232017657751234,0.02221729943425806,2015,Asia,CHN
Philip Morris International,"Food, Drink & Tobacco",United States,29652.0,7458.0,35187.0,121139.0,0.25151760420882235,0.211953278199335,2015,North America,USA
United Parcel Service,Air Courier,United States,58258.0,3032.0,35471.0,87376.0,0.05204435442342682,0.08547827802993994,2015,North America,USA
Mondelēz International,"Food, Drink & Tobacco",United States,34244.0,2184.0,66815.0,60673.0,0.06377759607522486,0.032687270822420116,2015,North America,USA
Suncor Energy,Oil & Gas Operations,Canada,36092.0,2443.7,68786.0,44947.0,0.06770752521334367,0.035526124502078905,2015,North America,CAN
SAP,IT Software & Services,Germany,23294.0,4344.1,46595.0,90240.0,0.18649008328324893,0.09323103337267948,2015,Europe,DEU
Duke Energy,Utilities,United States,25146.0,1883.0,120709.0,55395.0,0.0748826851189056,0.015599499623060419,2015,North America,USA
Gilead Sciences,Drugs & Biotechnology,United States,24931.0,12101.3,34664.0,145029.0,0.48539168103966945,0.34910281560120004,2015,North America,USA
Renault,Consumer Durables,France,54457.0,2507.0,98681.0,27524.0,0.04603632223589254,0.025405093179031425,2015,Europe,FRA
Allstate,Insurance,United States,34874.0,2850.0,110306.0,29488.0,0.08172277341285772,0.025837216470545574,2015,North America,USA
Deutsche Post,Air Courier,Germany,75117.0,2747.1,45178.0,38775.0,0.03657094931906226,0.06080614458364691,2015,Europe,DEU
Lockheed Martin,Aerospace & Defense,United States,45600.0,3614.0,37073.0,63424.0,0.07925438596491229,0.09748334367329323,2015,North America,USA
Orange,Telecommunications services,France,52322.0,1227.0,117129.0,43930.0,0.023450938419785176,0.01047562943421356,2015,Europe,FRA
Ecopetrol,Oil & Gas Operations,Colombia,34430.0,3751.6,59828.0,33609.0,0.10896311356375254,0.06270642508524436,2015,South America,COL
British American Tobacco,"Food, Drink & Tobacco",United Kingdom,23004.0,5129.0,40801.0,99647.0,0.22296122413493305,0.12570770324256758,2015,Europe,GBR
Costco Wholesale,Retailing,United States,115637.0,2264.0,33600.0,67096.0,0.01957850860883627,0.06738095238095237,2015,North America,USA
ABB,Conglomerates,Switzerland,40071.0,2597.7,45193.0,50328.0,0.06482743130942577,0.05748014072975903,2015,Europe,CHE
Bank of New York Mellon,Banking,United States,15134.0,2524.0,385303.0,45132.0,0.16677679397383374,0.006550688678780077,2015,North America,USA
Aetna,Health Care Equipment & Services,United States,58008.0,2040.8,53402.0,37645.0,0.03518135429595918,0.03821579716115501,2015,North America,USA
Brookfield Asset Management,Real Estate,Canada,18553.0,3118.5,129480.0,34978.0,0.16808602382364038,0.024084800741427246,2015,North America,CAN
3M,Conglomerates,United States,31821.0,4956.0,31269.0,105132.0,0.15574620533609881,0.1584956346541303,2015,North America,USA
Schneider Electric,Capital Goods,France,33080.0,2574.6,49803.0,47506.0,0.07782950423216445,0.051695680983073304,2015,Europe,FRA
McDonald's,"Hotels, Restaurants & Leisure",United States,27441.0,4757.8,34281.0,92537.0,0.1733828942093947,0.1387882500510487,2015,North America,USA
